dataset,algorithm,pre_candidate_runtime_sec,candidate_only_runtime_sec,speedup,delta_sec
facebook,EgoNet-APM-W1,3.9127125500235707,4.044662900036201,0.9673766755663497,-0.13195035001263022
facebook,EgoNet-CC-W1,2.310056191449985,2.4019532084465025,0.9617407130691138,-0.09189701699651742
facebook,Louvain,0.3300428002141416,0.31875350838527083,1.0354169963055768,0.011289291828870784
enron,EgoNet-APM-W1,6.071900541801005,6.020095958188176,1.0086052753930554,0.051804583612828914
enron,EgoNet-CC-W1,1.7310885663609952,1.6521010586060583,1.047810336627701,0.0789875077549369
enron,Louvain,1.9962544753681868,2.0105085083283485,0.9929102349474694,-0.0142540329601617
astro_ph,EgoNet-APM-W1,5.003089274838567,4.9924011582508685,1.002140876954576,0.010688116587698637
astro_ph,EgoNet-CC-W1,2.445061325188726,2.38189748339355,1.0265182873047856,0.06316384179517609
astro_ph,Louvain,1.585200549615547,1.62327593350783,0.9765441086716516,-0.03807538389228293
