dataset,algorithm,pre_csr_runtime_sec,post_csr_runtime_sec,speedup,delta_sec
facebook,EgoNet-APM-W1,8.520406624861062,3.9858439080417156,2.1376669085486646,4.534562716819346
facebook,EgoNet-CC-W1,5.523137166490779,2.369671841757372,2.3307603479791386,3.1534653247334066
facebook,Louvain,0.3188739913515747,0.31669407500885427,1.0068833505731343,0.0021799163427204116
enron,EgoNet-APM-W1,10.423179466789588,6.218592716613784,1.6761315528741252,4.204586750175803
enron,EgoNet-CC-W1,3.5842536251991985,1.8083369502797724,1.9820717729871469,1.7759166749194262
enron,Louvain,1.9705433750059456,1.9259016750380398,1.0231796360876129,0.04464169996790579
astro_ph,EgoNet-APM-W1,9.705894549936056,5.016085999784991,1.934953776779762,4.689808550151065
astro_ph,EgoNet-CC-W1,5.295734141673893,2.4347507166676223,2.1750621554070313,2.8609834250062702
astro_ph,Louvain,1.5773856247775258,1.5983566166367382,0.9868796539890206,-0.020970991859212473
